City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
271,Odemira,37.598,-8.6397,59.16,73,0,4.79,PT,2021-12-13 00:33:27
272,Joshimath,30.5667,79.5667,39.96,34,99,8.5,IN,2021-12-13 00:33:27
273,Toora-Khem,52.4675,96.11,1.09,96,99,1.54,RU,2021-12-13 00:34:27
274,College,64.8569,-147.8028,-12.8,68,75,0.0,US,2021-12-13 00:34:28
275,Los Llanos De Aridane,28.6585,-17.9182,62.35,79,75,5.01,ES,2021-12-13 00:34:28
276,Cam Ranh,11.9214,109.1591,76.96,61,20,18.41,VN,2021-12-13 00:34:28
277,Husavik,66.0449,-17.3389,37.31,79,100,14.2,IS,2021-12-13 00:34:29
278,Severo-Yeniseyskiy,60.3725,93.0408,-16.42,100,88,2.77,RU,2021-12-13 00:34:29
279,Bukachacha,52.9833,116.9167,-5.35,98,42,2.48,RU,2021-12-13 00:34:29
280,Clyde River,70.4692,-68.5914,-1.97,92,90,11.5,CA,2021-12-13 00:34:29
281,Kysyl-Syr,63.8986,122.7617,-24.02,97,100,6.64,RU,2021-12-13 00:34:30
282,Khatanga,71.9667,102.5,-49.61,99,79,4.9,RU,2021-12-13 00:34:30
283,Coihaique,-45.5752,-72.0662,53.55,58,75,6.91,CL,2021-12-13 00:34:30
284,Koumac,-20.5667,164.2833,76.59,92,100,6.71,NC,2021-12-13 00:34:31
285,Inhambane,-23.865,35.3833,78.13,94,34,7.34,MZ,2021-12-13 00:34:31
286,Marshalltown,42.0494,-92.908,48.43,34,1,9.22,US,2021-12-13 00:34:31
287,Palmer,42.1584,-72.3287,38.57,51,1,4.61,US,2021-12-13 00:34:32
288,Witu,-2.3889,40.4382,80.76,93,13,5.06,KE,2021-12-13 00:34:32
289,Mazarron,37.5992,-1.3149,54.45,85,0,3.38,ES,2021-12-13 00:34:32
290,Marystown,47.1666,-55.1483,39.85,100,100,11.99,CA,2021-12-13 00:31:20
291,Udachnyy,66.4167,112.4,-47.56,71,99,3.78,RU,2021-12-13 00:34:32
292,Atbasar,51.8,68.3333,-0.27,95,13,4.85,KZ,2021-12-13 00:34:33
293,Clacton-On-Sea,51.7897,1.156,53.78,86,100,17.34,GB,2021-12-13 00:34:33
294,Bansang,13.4333,-14.65,79.09,18,36,5.23,GM,2021-12-13 00:34:33
295,Yagodnoye,62.55,149.6667,-9.38,99,100,5.39,RU,2021-12-13 00:34:34
296,Sebezh,56.2955,28.4654,30.02,91,100,7.09,RU,2021-12-13 00:34:34
297,Vao,-22.6667,167.4833,77.02,90,100,13.89,NC,2021-12-13 00:34:34
298,Vanimo,-2.6741,141.3028,84.65,73,100,6.33,PG,2021-12-13 00:34:35
299,Svetlogorsk,52.6333,29.7333,36.57,91,100,3.33,BY,2021-12-13 00:34:35
300,Broome,42.2506,-75.833,39.65,57,1,3.0,US,2021-12-13 00:34:35
301,Ilulissat,69.2167,-51.1,19.42,63,75,14.97,GL,2021-12-13 00:34:36
302,Port Hardy,50.6996,-127.4199,38.75,93,75,6.91,CA,2021-12-13 00:34:36
303,General Pico,-35.6566,-63.7568,66.27,39,0,8.72,AR,2021-12-13 00:34:36
304,Pochutla,15.7432,-96.4661,82.22,86,3,3.0,MX,2021-12-13 00:34:36
305,Cabedelo,-6.9811,-34.8339,79.47,79,57,11.1,BR,2021-12-13 00:34:37
306,Sirjan,29.452,55.6814,40.71,35,0,3.89,IR,2021-12-13 00:34:37
307,Lazarev,52.225,141.5131,24.06,90,99,21.94,RU,2021-12-13 00:34:37
308,Isangel,-19.55,169.2667,87.91,74,75,8.05,VU,2021-12-13 00:34:37
309,Concordia,-31.393,-58.0209,79.79,64,85,1.99,AR,2021-12-13 00:34:38
310,Fare,-16.7,-151.0167,80.67,75,10,11.63,PF,2021-12-13 00:34:38
311,Jamame,0.0722,42.7506,77.41,84,81,9.13,SO,2021-12-13 00:34:38
312,Yatou,37.15,122.3833,33.82,48,30,8.84,CN,2021-12-13 00:34:39
313,Nanning,22.8167,108.3167,55.85,60,0,3.47,CN,2021-12-13 00:34:39
314,Moanda,-1.5575,13.2178,69.82,98,100,2.44,GA,2021-12-13 00:34:39
