City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
197,Petropavlovsk-Kamchatskiy,53.0452,158.6483,25.39,68,0,6.71,clear sky
198,Bethel,41.3712,-73.414,41.36,58,1,1.99,clear sky
199,Fukue,32.6881,128.8419,48.56,61,75,10.36,broken clouds
200,George,-33.963,22.4617,65.75,82,90,3.44,light rain
201,Cockburn Town,21.4612,-71.1419,80.26,72,0,21.27,clear sky
202,Namibe,-15.1961,12.1522,72.68,74,100,5.61,overcast clouds
203,Praia Da Vitoria,38.7333,-27.0667,53.85,87,40,14.34,scattered clouds
204,Rio Grande,-32.035,-52.0986,69.08,85,51,9.44,broken clouds
205,Champerico,14.3,-91.9167,81.36,82,0,3.96,clear sky
206,Sokoto,13.0609,5.239,68.95,16,100,9.51,overcast clouds
207,Russell,32.3502,-85.1999,45.63,93,1,0.0,clear sky
208,Balingasay,16.3573,119.8564,81.54,68,14,7.96,few clouds
209,Zwonitz,50.6333,12.8,40.78,97,100,4.21,overcast clouds
210,Solnechnyy,50.7214,136.6319,14.9,96,100,1.92,overcast clouds
211,Upernavik,72.7868,-56.1549,7.36,91,100,8.34,overcast clouds
212,Dwarka,22.2394,68.9678,78.17,39,0,10.02,clear sky
213,Scottsbluff,41.8666,-103.6672,37.29,60,1,1.01,clear sky
214,Anadyr,64.75,177.4833,5.5,72,40,24.61,scattered clouds
215,Khon Kaen,16.5,102.0833,81.66,42,12,7.49,few clouds
216,East London,-33.0153,27.9116,76.14,78,0,3.44,clear sky
217,Fairbanks,64.8378,-147.7164,-18.69,70,1,0.0,light snow
218,Nyrob,60.733,56.7202,-1.44,99,100,4.7,overcast clouds
219,Sorong,-0.8833,131.25,84.47,75,98,8.79,overcast clouds
220,Zambezi,-13.5432,23.1047,77.34,67,78,3.22,broken clouds
221,Bilma,18.6853,12.9164,62.4,13,93,8.63,overcast clouds
222,Milkovo,54.7167,158.6167,13.87,91,100,3.4,overcast clouds
223,Deputatskiy,69.3,139.9,-39.05,99,34,1.86,scattered clouds
224,Thompson,55.7435,-97.8558,-2.04,84,75,3.44,light snow
225,Hailey,43.5196,-114.3153,31.89,85,90,3.44,light snow
226,Taldan,53.6667,124.8,0.37,94,100,1.23,overcast clouds
227,Soyo,-6.1349,12.3689,78.85,87,100,6.55,overcast clouds
228,Kupang,-10.1667,123.5833,84.78,84,40,11.5,scattered clouds
229,Mazatlan,23.2167,-106.4167,71.02,89,1,0.0,clear sky
230,Kangaatsiaq,68.3065,-53.4641,13.95,96,92,9.31,overcast clouds
231,San Policarpo,12.1791,125.5072,80.4,84,100,18.5,overcast clouds
232,Kruisfontein,-34.0033,24.7314,69.89,96,100,3.98,light rain
233,Mount Gambier,-37.8333,140.7667,64.31,63,90,12.66,light rain
234,Eugene,44.0521,-123.0867,43.38,92,90,1.99,overcast clouds
235,Clyde River,70.4692,-68.5914,-16.04,98,100,4.36,overcast clouds
236,Tuatapere,-46.1333,167.6833,58.82,70,40,5.37,scattered clouds
237,Te Anau,-45.4167,167.7167,64.51,74,58,1.88,broken clouds
238,Zabaykalsk,49.6333,117.3167,14.94,79,19,7.74,few clouds
239,Tongling,30.95,117.7833,53.28,47,5,7.49,clear sky
240,Manicore,-5.8092,-61.3003,74.34,98,100,2.26,overcast clouds
241,Malanje,-9.5402,16.341,65.7,98,100,5.39,light rain
242,Hounde,11.5,-3.5167,73.69,22,5,2.48,clear sky
243,Reyes,-14.3167,-67.3833,76.59,86,100,6.73,overcast clouds
244,Hualmay,-11.0964,-77.6139,66.18,91,17,6.29,few clouds
245,Geraldton,-28.7667,114.6,79.21,44,0,18.41,clear sky
246,Palana,59.1167,159.9667,9.43,88,100,24.99,overcast clouds
247,Mathathane,-22.2687,28.7495,85.01,43,100,15.93,overcast clouds
248,Cidreira,-30.1811,-50.2056,71.02,95,42,10.89,scattered clouds
249,Allen,41.0706,-85.0144,38.28,72,20,8.01,few clouds
250,Helong,42.5397,128.9972,23.27,51,0,4.29,clear sky
251,Port Hedland,-20.3167,118.5667,91.45,62,4,14.97,clear sky
252,Taoudenni,22.6783,-3.9836,60.13,40,8,8.37,clear sky
253,Sagar,23.8333,78.7167,73.36,34,0,1.79,clear sky
254,Ishigaki,24.3448,124.1572,71.73,68,75,20.71,broken clouds
255,Acapulco,16.8634,-99.8901,76.82,88,20,4.61,few clouds
256,Sovetskiy,61.3614,63.5842,8.96,92,100,0.49,overcast clouds
257,Coari,-4.085,-63.1414,73.18,98,100,2.08,moderate rain
258,Juneau,58.3019,-134.4197,24.85,97,100,8.32,overcast clouds
259,Krasnovka,48.8177,40.0923,30.63,55,100,19.06,overcast clouds
260,Two Hills,53.7169,-111.7518,9.09,100,100,2.3,overcast clouds
261,Roald,62.5833,6.1333,49.12,65,75,17.27,broken clouds
262,Vila Velha,-20.3297,-40.2925,76.95,86,0,8.01,clear sky
263,Voh,-20.9667,164.7,76.41,95,100,3.49,overcast clouds
264,Tomigusuku,26.185,127.675,67.77,65,75,23.02,broken clouds
265,Kondinskoye,59.6481,67.41,5.4,98,79,4.23,broken clouds
